name,description,price
Apple Cinnamon Oatmeal,Warm oatmeal flavored with apple and cinnamon.,2.89
Lentil Vegetable Curry,A flavorful lentil curry cooked with vegetables and spices.,4.49
Garlic Herb Grilled Chicken,Marinated grilled chicken breasts seasoned with garlic and herbs.,8.99
Teriyaki Beef Jerky,Savory and chewy beef jerky with teriyaki flavor.,5.49
Peach Preserves,"Sweet and fruity peach preserves, perfect for spreading on toast.",3.79
Plant Watering Spikes,Automatic watering devices for potted plants.,12.99
Spicy Roasted Nuts,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",4.99
Vegan Caesar Dressing,"Creamy vegan dressing made with cashews, perfect for salads.",3.99
Electric Hot Pot,Compact electric pot for hot pot dining at home.,49.99
Pumpkin Spice Creamer,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.,3.79
Frozen Mixed Berries,"A mix of strawberries, blueberries, and raspberries.",5.99
Chocolate Chip Pancake Mix,Easy-to-make pancake mix with chocolate chips included.,3.99
Buffalo Cauliflower Bites,Spicy cauliflower bites for a vegetarian snack.,6.29
Zucchini Noodles,"Spiralized zucchini, a healthy alternative to pasta.",3.99
Herbal Tea Sampler Box,Assorted collection of herbal teas for relaxation and wellness.,29.99
Pumpkin Spice Granola,Crunchy granola with pumpkin spice flavor.,4.99
Sliced Cucumbers,"Freshly sliced cucumbers, great for salads or snacking.",1.29
Ground Turkey,"Lean and versatile ground turkey, perfect for various dishes.",5.49
Organic Whole Grain Oats,Whole grain oats that are perfect for breakfast or baking.,2.49
Non-Stick Grill Pan,Heavy-duty grill pan for indoor grilling.,39.99
Sports Bottle,BPA-free sports bottle with flip-top lid.,15.99
Collapsible Colander,Space-saving colander for rinsing fruits and vegetables.,14.99
Multi-Function Smartphone Holder,"Versatile holder that can be used on desks, cars, and more.",12.99
Interchangeable Watch Bands,Set of stylish watch bands to customize your look.,24.99
Vegetable Fried Rice,Quick and easy fried rice mixed with vegetables and soy sauce.,4.99
Pet Hair Removal Roller,Lint roller designed specifically for removing pet hair from furniture.,10.99
Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,5.99
